BBL,Job_Filing,BBL_Description,Joint_NBs,Address,NB_Owner,Same_Owner,RPP_Owner_Not_Same,doc_id
4101070079,NB,Job Filing,NB,150-04 BEAVER ROAD,"INVESTORS BANK; 179-28 110TH AVE LLC; KENNETH S. COOPERSTEIN, ESQ. (AS REFEREE)",0,1,-
4101070081,-,Adjacent,Adjacent,-,-,0,-,-
4101070132,-,Adjacent,Adjacent,-,-,0,-,-
4101070077,-,Adjacent,Adjacent,-,-,0,-,-
4101070082,-,Adjacent,Adjacent,-,-,0,-,-
4101070073,-,Block,Block,-,-,0,-,-
4101070067,-,Block,Block,-,-,0,-,-
4101070138,-,Block,Block,-,-,0,-,-
4101070099,-,Block,Block,-,-,0,-,-
4101070076,-,Block,Block,-,-,0,-,-
4101070066,-,Block,Block,-,-,0,-,-
4101070090,-,Block,Block,-,-,0,-,-
4101070107,-,Block,Block,-,-,0,-,-
4101070075,-,Block,Block,-,-,0,-,-
4101070155,-,Block,Block,-,-,0,-,-
4101070086,-,Block,Block,-,-,0,-,-
4101070084,-,Block,Block,-,-,0,-,-
4101070157,-,Block,Block,-,-,0,-,-
4101070074,-,Block,Block,-,-,0,-,-
4101070101,-,Block,Block,-,-,0,-,-
4101070130,-,Block,Block,-,-,0,-,-
4101070142,-,Block,Block,-,-,0,-,-
4101070071,-,Block,Block,-,-,0,-,-
4101070106,-,Block,Block,-,-,0,-,-
4101070063,-,Block,Block,-,-,0,-,-
4101070068,-,Block,Block,-,-,0,-,-
4065870052,NB,Job Filing,NB,135-19 78 ROAD,AMIR ABRAMCHIK,0,0,-
4065870006,-,Adjacent,Adjacent,-,-,0,-,-
4065870049,-,Adjacent,Adjacent,-,-,0,-,-
4065870055,-,Adjacent,Adjacent,-,-,0,-,-
4065870046,-,Block,Block,-,-,0,-,-
4065870043,-,Block,Block,-,-,0,-,-
4065870038,-,Block,Block,-,-,0,-,-
4065870057,-,Block,Block,-,-,0,-,-
4065870040,-,Block,Block,-,-,0,-,-
4065870061,-,Block,Block,-,-,0,-,-
2058373763,NB,Job Filing,NB,5251 FIELDSTON ROAD,AHMET YETIS,0,0,-
2058373768,-,Adjacent,Adjacent,-,-,0,-,-
2058373760,-,Adjacent,Adjacent,-,-,0,-,-
2058373710,-,Adjacent,Adjacent,-,-,0,-,-
2058373754,-,Block,Block,-,-,0,-,-
2058373701,-,Block,Block,-,-,0,-,-
2058373817,-,Block,Block,-,-,0,-,-
2058373808,-,Block,Block,-,-,0,-,-
2058373757,-,Block,Block,-,-,0,-,-
2058373748,-,Block,Block,-,-,0,-,-
2058373751,-,Block,Block,-,-,0,-,-
2058373771,-,Block,Block,-,-,0,-,-
2058373813,-,Block,Block,-,-,0,-,-
2058373796,-,Block,Block,-,-,0,-,-
2028070079,NB,Job Filing,NB,2001 CRESTON AVENUE,ROBERT LUMAJ,0,1,-
2028070077,-,Adjacent,Adjacent,-,-,0,-,-
